ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2025-03-17,212.55098835202708,208.35230797511468,233.2673312898577,212.55098835202708,212.55098835202708,8.196848586936316,8.196848586936316,8.196848586936316,7.774640711999999,7.774640711999999,7.774640711999999,0.42220787493631623,0.42220787493631623,0.42220787493631623,0.0,0.0,0.0,220.7478369389634
2025-03-18,211.9229375439585,207.95539027009923,232.20921131772758,211.9229375439585,211.9229375439585,8.139465325708548,8.139465325708548,8.139465325708548,7.774640711999999,7.774640711999999,7.774640711999999,0.36482461370854746,0.36482461370854746,0.36482461370854746,0.0,0.0,0.0,220.06240286966707
2025-03-19,211.2948867358899,207.07915364286987,232.3796497733616,211.2948867358899,211.2948867358899,8.444661924047068,8.444661924047068,8.444661924047068,7.774640711999999,7.774640711999999,7.774640711999999,0.6700212120470683,0.6700212120470683,0.6700212120470683,0.0,0.0,0.0,219.73954865993696
2025-03-20,210.6668359278213,206.16471321904294,231.76935173001115,210.6668359278213,210.6668359278213,7.8149982374405536,7.8149982374405536,7.8149982374405536,7.774640711999999,7.774640711999999,7.774640711999999,0.04035752544055348,0.04035752544055348,0.04035752544055348,0.0,0.0,0.0,218.48183416526186
2025-03-21,210.038785001373,206.13508341273274,230.93703695993983,210.038785001373,210.038785001373,8.220893407385635,8.220893407385635,8.220893407385635,7.774640711999999,7.774640711999999,7.774640711999999,0.44625269538563506,0.44625269538563506,0.44625269538563506,0.0,0.0,0.0,218.25967840875862
2025-03-24,208.15463222202803,203.80016004811796,228.45016788381827,208.15463222202803,208.15463222202803,8.196848586935358,8.196848586935358,8.196848586935358,7.774640711999999,7.774640711999999,7.774640711999999,0.4222078749353599,0.4222078749353599,0.4222078749353599,0.0,0.0,0.0,216.35148080896337
2025-03-25,207.5265812955797,203.92212403707234,228.801883308063,207.5265812955797,207.5265812955797,8.139465325708063,8.139465325708063,8.139465325708063,7.774640711999999,7.774640711999999,7.774640711999999,0.3648246137080628,0.3648246137080628,0.3648246137080628,0.0,0.0,0.0,215.66604662128776
2025-03-26,206.89853036504542,203.8457666478642,227.34657123798127,206.89853036504542,206.89853036504542,8.444661924047894,8.444661924047894,8.444661924047894,7.774640711999999,7.774640711999999,7.774640711999999,0.6700212120478957,0.6700212120478957,0.6700212120478957,0.0,0.0,0.0,215.3431922890933
2025-03-27,206.27047943451112,201.85451021950206,226.40171221931612,206.27047943451112,206.27047943451112,7.814998237440903,7.814998237440903,7.814998237440903,7.774640711999999,7.774640711999999,7.774640711999999,0.04035752544090289,0.04035752544090289,0.04035752544090289,0.0,0.0,0.0,214.08547767195202
2025-03-28,205.64242850397684,202.02776784538173,226.20993932495128,205.64242850397684,205.64242850397684,8.22089340738277,8.22089340738277,8.22089340738277,7.774640711999999,7.774640711999999,7.774640711999999,0.44625269538276985,0.44625269538276985,0.44625269538276985,0.0,0.0,0.0,213.8633219113596
2025-03-31,203.7582759268637,198.78295260800456,223.9922443202444,203.7582759268637,203.7582759268637,8.196848586932234,8.196848586932234,8.196848586932234,7.774640711999999,7.774640711999999,7.774640711999999,0.4222078749322343,0.4222078749322343,0.4222078749322343,0.0,0.0,0.0,211.9551245137959
